Series Name,Series Code,Country Name,Country Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Malawi,MWI,-2.11790464875209,13.2028576152333,3.45783518187604,-0.407089945715185,4.27478042488102,3.13712350849569,1.95218887849539,1.7564827093175,6.41538189560058,1.32672730801148,-2.40356106152956,-7.68200606336794,0.105545044557957,1.07200494524382,1.93105247748309,0.202124569267866,-5.39675605538194,-4.30108745863821,-2.74267199800366,-3.55619809474061,1.99564341786378,6.51204723494097,-8.15209719316177,9.41668241322439,-10.5658454287239,15.5581992752432,5.40678340320282,1.34428083690909,1.06528168017211,0.175482790156266,-1.10652178981513,-7.32932715039497,-0.745454184461281,3.18180561407293,2.83545055901477,0.6177700974348,1.8936214181724,6.57608201122382,4.6124703746286,5.2590647384723,3.84963262923304,1.89318713235363,-0.985564538460054,2.2559643361497,2.77826957420204,0.00205502305720984,-0.255885678311458,1.26339856039046,0.801419696455682,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Malaysia,MYS,3.48766454572089,7.46540905116497,6.85912607795582,9.1152841467603,5.7777808099233,-1.61144844945859,8.82106571558113,5.0435183865569,3.95132923992374,6.60975693104331,4.8094948832989,4.40004164523289,3.47486893105958,3.7556150188051,5.11692561502539,-3.60529973244603,-1.56624729736899,2.14689881105691,6.70552146833312,5.90834440534485,5.98030357369224,6.64644794317928,6.11914067319226,7.17509553925511,6.51910873884609,7.09452544694,7.22873719590274,4.60926161683142,-9.67121829758473,3.57732227468502,6.35750270856816,-1.66514435220596,3.2174126359255,3.68792750610803,4.69855249426413,3.28229490990486,3.52428330120016,4.23645493230018,2.84707967590904,-3.28558665389247,5.62353738013289,3.66615628289205,3.95963465584536,3.27011405523191,4.59519358369842,3.6875522711987,3.04105536005241,4.31327421237684,3.3345011012496,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Maldives,MDV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.75959330456564,6.48381795964362,5.64754673442877,4.20684497433341,1.66369472616866,-6.26128530756301,4.39511945442845,10.5568272961832,3.11025902911597,-15.3967197818802,23.0773808269802,5.24508904739962,6.84488505675762,-9.83978420630098,3.64713721588616,4.35497370805287,-1.8033264698752,2.54266069013551,2.5377086830778,-1.61607799565601,1.73199898624804,2.30928086717373,2.88973083684236,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Mali,MLI,4.57349387588444,0.948721066645277,4.07185094024243,-3.16777028523917,-3.26312600803153,9.66317063606252,11.6521275230886,4.51805607648792,-3.17739332602488,8.40694006156374,-6.13031152286666,-0.520073101016791,-9.30816706806186,-0.291043063394071,-2.22674070107306,18.1819883181083,1.13049924255581,-1.49365265367489,5.95326665072319,2.60293360108521,-4.26773145119597,9.34332672705271,-5.56764827620493,0.483158670339918,1.0261006022495,-1.71920123128145,4.31432825505244,2.16221261193019,4.80783806310015,2.89651976548701,-2.83182007597617,12.0479487857024,0.0416948270121082,5.78785326739406,-1.61245039848602,3.14541790242988,1.27055690429063,0.096615523289671,1.34284614400862,1.32038869710307,2.13587050709731,0.144374408582081,-3.72125390810444,-0.621668899114638,3.98168038762667,2.89675506057444,2.69850568632206,2.28586418670076,1.79167665678075,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Malta,MLT,..,2.43707025687485,5.92581117846933,4.23229500659312,10.1107341707291,18.6852567559259,16.4231524641828,11.747083874102,10.0100609634786,9.37649278639773,5.93304998185818,2.55485545283685,0.113836738273847,-2.0034149239238,0.92130266242323,0.798852022720325,2.16379569866596,3.39606460305848,7.52775697210978,7.13131154020614,5.25659773465001,3.43102640060651,3.61645052805109,3.44243624645073,4.66759445198295,5.60371210153538,3.09824373409408,4.4634096464568,4.44456735015224,4.10096796650934,6.08345885824623,-0.144491273912521,2.21792903174574,1.87151827705605,-0.228933646992317,3.12420096990967,1.45839226972497,3.62442234050089,2.67626586640894,-3.19485641967428,3.03534634793951,0.878821508859758,1.8710407741906,3.15235295896767,6.55724431666039,8.2049254124704,3.2846537698677,3.84116671501731,3.34279731108256,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..,0.317521796803774,10.339956570555,-0.873108380006116,-10.6004707997705,18.7259114828272,4.27586141154744,3.11883196612901,-5.41840225339939,-0.475437097513947,-2.25488411988205,5.3110635736985,4.75963905450615,5.06805657595892,7.69421945176123,-10.4378348210637,-6.2917559542945,-0.634222800217387,-1.38635882180294,0.695065375493243,5.43626433772934,1.86354082641218,-3.61461695842912,-0.940880335450672,0.837275535337966,-0.25066521972218,2.24840664825821,-6.95727035867797,1.30674452512083,7.33404365563037,-1.04581171880801,-2.69050966600611,3.31505673085584,-1.35748693075956,1.13143129285601,0.78727949875146,3.47773562769626,2.99498220807803,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Mauritania,MRT,8.66232839719939,-1.16446218804933,-3.64965523908208,-7.37769991234309,8.88956097875695,-7.89657530021968,5.39679085689224,-4.71437561369299,-3.37323739429573,1.76768325059855,0.388445167354519,0.460356491123349,-5.1590995148832,0.7617439542352,-5.95967958597249,0.142663778741124,2.84522806362916,-0.814844545439641,-0.949558746018511,2.05671860999068,-4.30371563338451,-0.823316248650457,-0.728207601826966,3.18231432411933,-5.50983351164156,7.06133520739513,3.17565370398087,-6.43659706988585,0.198165121715959,4.96410550350335,-3.02861556780711,-0.715854115489407,-2.0779651006245,3.04614239371573,2.7936881405147,5.90856531599746,15.5186619880771,-0.0912586234633039,-1.7940108052068,-3.8757630041694,1.75162138401295,1.66496581729245,2.71514904831321,3.00717502207819,2.53401628192107,-2.4299217839007,-1.02398608243631,0.208196426665296,0.714678742319364,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Mauritius,MUS,..,..,..,..,..,..,..,4.82783144042178,2.48272818740993,1.73049166695094,-11.5649251322658,4.32477986309812,4.21530028822868,-0.535170121849603,3.60922239042341,6.0838762937974,8.90623690268926,8.07946640858839,6.05871916413973,3.66809083468252,6.42594403741184,3.31416639934403,5.12044442607018,3.84362797365823,2.68832855301623,3.39477636329191,4.51343258696821,4.37241716495515,4.96251941000693,1.31474864199103,7.14471598141753,2.5342628365631,0.911910202973161,5.16167044675493,3.67780931916661,1.1766991035457,4.37758680430234,5.24649694808031,5.00653908318569,3.04110045385639,4.1291988641932,3.9110012482051,3.2094994517465,3.13285197547427,3.55690427086847,3.41602397332954,3.76659645807264,3.72056764808697,3.71722856647342,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Mexico,MEX,3.30021390512276,0.668132962679863,5.03562869352872,4.73131815057202,2.77961964694784,2.83308737262549,1.63108312066902,0.713837607542757,6.21174213647988,6.99564655999596,6.59359587874863,5.95153069358456,-2.83218211177795,-5.67747105692499,1.12524202134657,-0.00558885881383731,-5.09685124912116,-0.333819899203917,-0.708386323647701,2.10829308774542,3.20338784922272,2.30200659112924,1.68311482778805,0.157925459333171,3.15905968914349,-7.8317422553591,5.07244483344138,5.19356353987794,3.5815678844592,1.24783710646471,3.44098587862088,-1.7929036125865,-1.40293226540929,0.07226231529134,2.49483298450697,0.869515796913007,2.98443834192925,0.782568093541329,-0.357632988476567,-6.67416705024689,3.61718943622142,2.22716085156813,2.24714512087824,0.0294494166966928,1.49918893305392,2.0139271135847,1.67969391612471,0.936351596433013,0.991932458168463,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-1.13287648208365,0.312526793707107,1.2454168579734,1.32356213686531,4.7419296093293,1.32136369317158,5.51193649174324,-2.51857744173338,5.52263826111523,-3.89025743236486,-6.19861387601499,3.10902327130623,1.77607630230294,5.20381167805736,2.38592377510753,0.681350823202777,1.69466330205408,-2.82926068058796,2.51874011678322,0.637750433395894,-0.964915227909444,-1.55931400233092,1.65074988135943,2.32296839272752,2.65091750661126,-2.85839551335825,-4.97101534613785,-3.68782371478684,3.2297578647232,-0.308253107680528,1.53613744793218,-0.839033793843598,..
